iter	Passed	Remaining
862	6817	1082
863	6821	1073
864	6872	1072
865	6883	1065
866	6885	1056
867	6887	1047
868	6894	1039
869	6900	1031
870	6949	1029
871	6952	1020
872	6961	1012
873	6964	1004
874	7002	1000
875	7010	992
876	7012	983
877	7029	976
878	7031	967
879	7032	959
880	7034	950
881	7043	942
882	7045	933
883	7064	927
884	7067	918
885	7078	910
886	7081	902
887	7084	893
888	7090	885
889	7092	876
890	7094	867
891	7102	859
892	7108	851
893	7112	843
894	7175	841
895	7192	834
896	7194	826
897	7200	817
898	7206	809
899	7208	800
900	7210	792
901	7215	783
902	7219	775
903	7221	766
904	7256	761
905	7287	756
906	7297	748
907	7301	739
908	7303	731
909	7309	722
910	7311	714
911	7313	705
912	7319	697
913	7323	689
914	7326	680
915	7338	672
916	7340	664
917	7342	655
918	7344	647
919	7350	639
920	7356	631
921	7358	622
922	7360	614
923	7361	605
924	7375	597
925	7377	589
926	7384	581
927	7443	577
928	7455	569
929	7457	561
930	7465	553
931	7470	545
932	7472	536
933	7474	528
934	7483	520
935	7485	511
936	7487	503
937	7488	495
938	7504	487
939	7520	480
940	7522	471
941	7532	463
942	7535	455
943	7536	447
944	7538	438
945	7546	430
946	7550	422
947	7551	414
948	7553	405
949	7568	398
950	7570	390
951	7586	382
952	7592	374
953	7596	366
954	7598	358
955	7600	349
956	7601	341
957	7609	333
958	7611	325
959	7613	317
960	7616	309
961	7630	301
962	7632	293
963	7643	285
964	7645	277
965	7647	269
966	7662	261
967	7664	253
968	7668	245
969	7676	237
970	7678	229
971	7680	221
972	7683	213
973	7685	205
974	7686	197
975	7688	189
976	7691	181
977	7693	173
978	7695	165
979	7705	157
980	7709	149
981	7711	141
982	7723	133
983	7740	125
984	7743	117
985	7752	110
986	7754	102
987	7755	94
988	7758	86
989	7766	78
990	7792	70
991	7800	62
992	7804	55
993	7807	47
994	7817	39
995	7819	31
996	7821	23
997	7823	15
998	7830	7
999	7847	0
